top_k,similarity_threshold,query,precision,recall,map,ndcg,retrieved_count,query_latency_ms
15,0.4,OCR for scanned theses,1.0,0.1111111111111111,1.0,0.23504554941448536,1,9.84
15,0.4,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.9506828759500645,15,6.36
20,0.0,AI in healthcare,0.7,0.35,0.9415053200767488,0.7853037468865476,20,7.67
20,0.0,wireless communication,0.45,0.5294117647058824,0.8021885521885522,0.6294131885314883,20,6.41
20,0.0,digital libraries,0.95,0.31666666666666665,0.9739721590035261,0.961615361834617,20,6.22
20,0.0,renewable energy storage,0.35,0.875,0.9196428571428571,0.8977737965386227,20,4.6
20,0.0,OCR for scanned theses,0.15,0.3333333333333333,0.456043956043956,0.3569419482492312,20,4.63
20,0.0,semantic search,0.95,0.3958333333333333,0.96480150509603,0.9589412206131109,20,6.4
20,0.15,AI in healthcare,0.7,0.35,0.9415053200767488,0.7853037468865476,20,5.84
20,0.15,wireless communication,0.5,0.47058823529411764,0.8462121212121212,0.5935359384122254,16,7.02
20,0.15,digital libraries,0.95,0.31666666666666665,0.9739721590035261,0.961615361834617,20,4.33
20,0.15,renewable energy storage,0.42857142857142855,0.75,1.0,0.8358912271816661,14,5.97
20,0.15,OCR for scanned theses,0.15,0.3333333333333333,0.456043956043956,0.3569419482492312,20,6.06
20,0.15,semantic search,0.95,0.3958333333333333,0.96480150509603,0.9589412206131109,20,5.82
20,0.2,AI in healthcare,0.7,0.35,0.9415053200767488,0.7853037468865476,20,6.43
20,0.2,wireless communication,0.5555555555555556,0.29411764705882354,1.0,0.4646307801739275,9,7.05
20,0.2,digital libraries,0.95,0.31666666666666665,0.9739721590035261,0.961615361834617,20,5.0
20,0.2,renewable energy storage,0.75,0.75,1.0,0.8358912271816661,8,6.9
20,0.2,OCR for scanned theses,0.1875,0.3333333333333333,0.456043956043956,0.3569419482492312,16,6.88
20,0.2,semantic search,0.95,0.3958333333333333,0.96480150509603,0.9589412206131109,20,5.35
20,0.25,AI in healthcare,0.8333333333333334,0.25,0.9833333333333334,0.6426932072384363,12,6.6
20,0.25,wireless communication,1.0,0.29411764705882354,1.0,0.4646307801739275,5,8.9
20,0.25,digital libraries,0.95,0.31666666666666665,0.9739721590035261,0.961615361834617,20,5.27
20,0.25,renewable energy storage,1.0,0.75,1.0,0.8358912271816661,6,6.98
20,0.25,OCR for scanned theses,0.125,0.1111111111111111,1.0,0.23504554941448536,8,9.25
20,0.25,semantic search,0.95,0.3958333333333333,0.96480150509603,0.9589412206131109,20,6.85
20,0.3,AI in healthcare,1.0,0.175,1.0,0.51674161295635,7,8.12
20,0.3,wireless communication,1.0,0.29411764705882354,1.0,0.4646307801739275,5,6.8
20,0.3,digital libraries,0.95,0.31666666666666665,0.9739721590035261,0.961615361834617,20,3.97
20,0.3,renewable energy storage,1.0,0.625,1.0,0.7457912185292983,5,7.29
20,0.3,OCR for scanned theses,0.3333333333333333,0.1111111111111111,1.0,0.23504554941448536,3,8.27
20,0.3,semantic search,0.95,0.3958333333333333,0.96480150509603,0.9589412206131109,20,6.49
20,0.35,AI in healthcare,1.0,0.075,1.0,0.30267734665382945,3,8.11
20,0.35,wireless communication,1.0,0.23529411764705882,1.0,0.40366886264658747,4,6.85
20,0.35,digital libraries,0.9411764705882353,0.26666666666666666,0.9789786347231201,0.8629746087340068,17,5.6
20,0.35,renewable energy storage,1.0,0.375,1.0,0.5390031312763821,3,6.03
20,0.35,OCR for scanned theses,0.5,0.1111111111111111,1.0,0.23504554941448536,2,8.79
20,0.35,semantic search,0.95,0.3958333333333333,0.96480150509603,0.9589412206131109,20,6.28
20,0.4,AI in healthcare,1.0,0.05,1.0,0.23165732683700077,2,7.24
20,0.4,wireless communication,1.0,0.17647058823529413,1.0,0.33580101130045265,3,6.4
20,0.4,digital libraries,0.9375,0.25,0.981498778998779,0.8289116364780243,16,8.65
20,0.4,renewable energy storage,1.0,0.375,1.0,0.5390031312763821,3,8.15
20,0.4,OCR for scanned theses,1.0,0.1111111111111111,1.0,0.23504554941448536,1,6.69
20,0.4,semantic search,0.9333333333333333,0.2916666666666667,0.9721956614813757,0.7914873225576496,15,6.28
